Movie Name,Language,Running Time,Year of Release,Maturity Rating,type,platform,tconst,genres,IMDb Rating_y
Where's the Money,English,85,2017,18+,Movie,Amazon Prime,tt5716848,Comedy,5.2
The Landlord,English,86,2017,16+,Movie,Amazon Prime,tt7394406,Thriller,5.3
Flypaper,English,87,2011,16+,Movie,Amazon Prime,tt1541160,"Comedy,Crime,Mystery",6.4
Noorie,Hindi,120,1979,16+,Movie,Amazon Prime,tt0309926,"Drama,Family,Romance",6.0
Thiruda Thiruda,Tamil,170,1993,All,Movie,Amazon Prime,tt0108329,"Action,Crime,Drama",7.2
Raabta,Hindi,144,2017,13+,Movie,Amazon Prime,tt5542802,"Action,Drama,Fantasy",5.2
Server Sundaram,Tamil,159,1964,All,Movie,Amazon Prime,tt0234697,"Comedy,Drama,Romance",7.8
10th July,Bengali,127,2014,NR,Movie,Amazon Prime,tt6555590,Drama,5.1
Autumn in New York,English,104,2000,13+,Movie,Amazon Prime,tt0174480,"Drama,Romance",5.6
The Stoneman Murders,Hindi,94,2009,13+,Movie,Amazon Prime,tt1183946,"Crime,Drama,Mystery",7.4
A Thin Wall,Hindi,65,2015,NR,Movie,Amazon Prime,tt4651472,Documentary,8.2
Kuttettan,Malayalam,133,1990,NR,Movie,Amazon Prime,tt0271607,"Comedy,Drama",6.3
Boyz 2,Marathi,139,2018,18+,Movie,Amazon Prime,tt8873348,Comedy,6.8
Mannan,Tamil,153,1992,NR,Movie,Amazon Prime,tt0319813,"Action,Comedy,Drama",7.2
Kadhal Sadugudu,Tamil,140,2003,18+,Movie,Amazon Prime,tt4960754,"Action,Drama,Romance",5.6
In the Valley of Elah,English,121,2007,18+,Movie,Amazon Prime,tt0478134,"Crime,Drama,Mystery",7.1
Gauthamante Radham,Malayalam,126,2020,All,Movie,Amazon Prime,tt11536072,Comedy,6.3
Wake Up Singh,Punjabi,108,2016,13+,Movie,Amazon Prime,tt5467458,"Drama,Family",5.8
Celluloid Man,English,156,2012,NR,Movie,Amazon Prime,tt2190196,Documentary,7.8
Taxi No. 9 2 11: Nau Do Gyarah,Hindi,115,2006,13+,Movie,Amazon Prime,tt0476884,"Comedy,Drama,Thriller",7.3
Big Brother,Malayalam,162,2020,13+,Movie,Amazon Prime,tt0280237,"Game-Show,Reality-TV",2.4
C/O Saira Banu,Malayalam,154,2017,NR,Movie,Amazon Prime,tt6541008,"Comedy,Drama",6.5
Hanste Khelte,Hindi,108,1984,NR,Movie,Amazon Prime,tt1252292,Crime,5.7
To Let,Tamil,95,2019,All,Movie,Amazon Prime,tt6982254,Family,8.0
London Boulevard,English,97,2010,18+,Movie,Amazon Prime,tt1213648,"Crime,Drama",6.2
Bhay,Marathi,124,2018,13+,Movie,Amazon Prime,tt4844720,Thriller,4.5
Mullum Malarum,Tamil,135,1978,All,Movie,Amazon Prime,tt0235609,Drama,8.3
Pralaya Rudrudu,Telugu,143,1982,NR,Movie,Amazon Prime,tt0355910,\N,8.2
Bhoot Chaturdashi,Bengali,98,2019,13+,Movie,Amazon Prime,tt10585038,Horror,3.3
Blitz,English,93,2011,18+,Movie,Amazon Prime,tt1297919,"Action,Crime,Thriller",6.2
Jimmy Gallu,Kannada,127,1982,NR,Movie,Amazon Prime,tt1380129,\N,6.2
Maga Rayudu,Telugu,146,1994,NR,Movie,Amazon Prime,tt1579622,Drama,6.2
Gatham,Telugu,101,2020,18+,Movie,Amazon Prime,tt13105536,Thriller,6.3
Zed Plus,Hindi,132,2014,13+,Movie,Amazon Prime,tt4190220,Comedy,6.5
Collector Garu,Telugu,141,1997,NR,Movie,Amazon Prime,tt1228966,"Action,Comedy,Drama",4.7
Jatt Airways,Punjabi,135,2013,All,Movie,Amazon Prime,tt3084502,"Comedy,Romance",4.4
Pornomochi,Bengali,115,2018,NR,Movie,Amazon Prime,tt8142712,"Crime,Drama",6.5
Gully Boy,Hindi,154,2019,13+,Movie,Amazon Prime,tt2395469,"Drama,Music,Romance",7.9
Fool N Final,Hindi,138,2007,All,Movie,Amazon Prime,tt0493417,"Action,Comedy,Crime",3.4
Konchem Ishtam Konchem Kashtam,Telugu,158,2009,All,Movie,Amazon Prime,tt1230544,Romance,7.0
Bindaas,Bengali,152,2014,13+,Movie,Amazon Prime,tt4773112,"Action,Comedy,Musical",4.9
India vs England,Kannada,134,2020,13+,Movie,Amazon Prime,tt11470272,Drama,5.9
Sarkar,Hindi,119,2005,13+,Movie,Amazon Prime,tt0432047,"Action,Crime,Drama",7.6
Colour Balloon,Malayalam,124,2014,All,Movie,Amazon Prime,tt5090136,Drama,6.3
Vietnam Colony,Malayalam,147,1992,NR,Movie,Amazon Prime,tt0292332,"Action,Comedy,Drama",7.8
Game,Hindi,134,2011,13+,Movie,Amazon Prime,tt1772872,"Action,Crime,Drama",5.2
The Mummy Returns,English,129,2001,18+,Movie,Amazon Prime,tt0209163,"Action,Adventure,Fantasy",6.4
Padi Padi Leche Manasu,Telugu,152,2018,13+,Movie,Amazon Prime,tt8093952,"Drama,Romance",6.4
Stonehearst Asylum,English,108,2014,13+,Movie,Amazon Prime,tt1772264,"Drama,Horror,Thriller",6.8
Ilzaam,Hindi,146,1986,All,Movie,Amazon Prime,tt0091258,"Drama,Family",5.9
Mangalam Nerunnu,Malayalam,156,1984,NR,Movie,Amazon Prime,tt0244058,\N,5.1
Last Flag Flying,English,124,2017,18+,Movie,Amazon Prime,tt6018306,"Comedy,Drama,War",6.9
Jeevana Chakra,Kannada,144,1985,NR,Movie,Amazon Prime,tt0309731,Drama,7.9
Ek Ajnabee,Hindi,137,2005,13+,Movie,Amazon Prime,tt0457875,"Action,Crime,Drama",5.2
Salt,English,100,2010,13+,Movie,Amazon Prime,tt0944835,"Action,Thriller",6.4
Nota,Tamil,145,2018,All,Movie,Amazon Prime,tt8108034,Drama,6.4
Power,Bengali,156,2017,13+,Movie,Amazon Prime,tt6359618,Comedy,7.8
Oh Yaara Ainvayi Ainvayi Lut Gaya,Punjabi,123,2015,All,Movie,Amazon Prime,tt6400696,Romance,4.0
Rubberband,Bengali,30,2018,13+,Movie,Amazon Prime,tt8615466,"Crime,Short",6.1
Elar Char Adhyay,Bengali,104,2012,13+,Movie,Amazon Prime,tt3284238,Drama,5.5
Ishtam,Malayalam,153,2001,NR,Movie,Amazon Prime,tt0322788,"Comedy,Drama,Romance",6.9
The Meg,English,113,2018,13+,Movie,Amazon Prime,tt4779682,"Action,Horror,Sci-Fi",5.6
Big in Japan,English,55,2019,13+,Movie,Amazon Prime,tt10752082,"Action,Adventure,Animation",2.6
Appatlo Okadundevadu,Telugu,123,2016,13+,Movie,Amazon Prime,tt6420830,Drama,7.7
Mr. Family Man,Tamil,55,2020,16+,Movie,Amazon Prime,tt12275030,Comedy,6.9
Neranja Manasu,Tamil,159,2004,All,Movie,Amazon Prime,tt0810985,"Action,Drama",2.9
Sawaal,Hindi,129,1982,7+,Movie,Amazon Prime,tt0301810,"Drama,Family,Romance",6.0
Hrudayat Something Something,Marathi,124,2018,13+,Movie,Amazon Prime,tt10087396,Comedy,5.6
The Grudge,Hindi,93,2019,18+,Movie,Amazon Prime,tt9640868,"Crime,Mystery,Reality-TV",8.0
Pistha,Tamil,152,1997,All,Movie,Amazon Prime,tt7493726,Comedy,7.1
Do Bachche Dus Haath,Hindi,124,1972,NR,Movie,Amazon Prime,tt0231468,Drama,6.6
Family Katta,Marathi,124,2016,All,Movie,Amazon Prime,tt6041344,Family,7.5
Annayya,Kannada,147,1993,NR,Movie,Amazon Prime,tt10197858,\N,7.3
John Wick: Chapter 2,English,122,2017,18+,Movie,Amazon Prime,tt4425200,"Action,Crime,Thriller",7.5
Fences,English,138,2016,All,Movie,Amazon Prime,tt2671706,Drama,7.2
Sweater,Bengali,116,2019,13+,Movie,Amazon Prime,tt10080924,Drama,7.3
Kannezhuthi Pottum Thottu,Malayalam,129,1999,18+,Movie,Amazon Prime,tt0255295,Thriller,7.0
Khatarnak,Marathi,141,2000,13+,Movie,Amazon Prime,tt0273707,"Comedy,Mystery,Thriller",6.2
Gorintaku,Telugu,135,1979,NR,Movie,Amazon Prime,tt0262447,Drama,7.7
Race,English,129,2016,13+,Movie,Amazon Prime,tt3499096,"Biography,Drama,Sport",7.1
Vampire Academy,English,104,2014,18+,Movie,Amazon Prime,tt1686821,"Action,Comedy,Drama",5.5
Shaadi Teri Bajayenge Hum Band,Hindi,128,2018,13+,Movie,Amazon Prime,tt7856176,Comedy,5.0
Zelya,Marathi,86,2018,All,Movie,Amazon Prime,tt8490276,Drama,8.1
Ebong Bisarjan,Bengali,100,2012,13+,Movie,Amazon Prime,tt6989454,Drama,6.3
Romeo & Radhika,Gujarati,155,2016,13+,Movie,Amazon Prime,tt5658580,"Comedy,Romance",5.9
On the Yeti Trail,English,53,2014,13+,Movie,Amazon Prime,tt6045940,Documentary,5.1
Kasauti,Hindi,142,1974,NR,Movie,Amazon Prime,tt0071714,"Drama,Romance",5.9
Rokto,Bengali,130,2016,13+,Movie,Amazon Prime,tt5928556,Action,5.9
Satyameva Jayate,Hindi,139,2018,18+,Movie,Amazon Prime,tt8202612,"Action,Crime,Drama",5.7
Deewangee,Hindi,157,2002,13+,Movie,Amazon Prime,tt0337971,"Crime,Drama,Mystery",6.6
Apoorva Raagangal,Tamil,130,1975,NR,Movie,Amazon Prime,tt0154159,"Drama,Romance",7.5
Mere Brother Ki Dulhan,Hindi,139,2011,13+,Movie,Amazon Prime,tt1740710,"Comedy,Drama,Family",5.8
Diggajaru,Kannada,159,2001,All,Movie,Amazon Prime,tt14728334,Drama,7.8
Shutter Island,Hindi,138,2010,18+,Movie,Amazon Prime,tt1130884,"Mystery,Thriller",8.2
Double Dhamaal,Hindi,132,2011,13+,Movie,Amazon Prime,tt1728239,"Comedy,Crime,Drama",3.8
Sherlock Holmes,English,128,2009,13+,Movie,Amazon Prime,tt0988045,"Action,Adventure,Mystery",7.6
The Angry Birds Movie,Telugu,97,2016,7+,Movie,Amazon Prime,tt1985949,"Adventure,Animation,Comedy",6.3
Road to Ladakh,English,48,2003,18+,Movie,Amazon Prime,tt1785538,Drama,6.1
Blue Tiger,English,88,1994,16+,Movie,Amazon Prime,tt0109307,"Action,Crime,Thriller",5.5
The Human Tornado,English,95,1976,18+,Movie,Amazon Prime,tt0074653,"Action,Comedy,Drama",6.1
Devrai,Marathi,122,2004,13+,Movie,Amazon Prime,tt0451702,Drama,7.8
Wiener-Dog,English,88,2016,18+,Movie,Amazon Prime,tt4144190,"Comedy,Drama",5.9
Agninakshathram,Malayalam,136,2004,NR,Movie,Amazon Prime,tt0481053,"Action,Horror,Thriller",3.1
Marriage Da Garriage,Punjabi,142,2014,All,Movie,Amazon Prime,tt3548416,Comedy,5.2
Daddy Cool: Join the Fun,Hindi,102,2009,13+,Movie,Amazon Prime,tt1404573,"Comedy,Drama",3.8
Black Market,Kannada,109,1967,NR,Movie,Amazon Prime,tt0585875,"Adventure,Drama,War",7.7
Raazi,Hindi,137,2018,13+,Movie,Amazon Prime,tt7098658,"Action,Drama,Thriller",7.8
Sarva Line Vyasta Aahet,Marathi,126,2019,13+,Movie,Amazon Prime,tt9419628,Comedy,5.8
Soldier,Hindi,155,1998,13+,Movie,Amazon Prime,tt0120157,"Action,Drama,Sci-Fi",6.0
Sangamam,Tamil,151,1999,All,Movie,Amazon Prime,tt0214073,"Drama,Music",6.4
Life or Something Like It,English,103,2002,13+,Movie,Amazon Prime,tt0282687,"Comedy,Romance",5.8
Spadikam,Malayalam,145,1995,NR,Movie,Amazon Prime,tt0292246,"Action,Drama",8.6
Daffedar,Malayalam,153,2016,All,Movie,Amazon Prime,tt6099884,Drama,5.7
Bandini,Bengali,131,1989,All,Movie,Amazon Prime,tt6925998,"Drama,Romance",6.7
Sultaan,Hindi,131,2000,18+,Movie,Amazon Prime,tt0462041,"Action,Drama",5.6
Indiana Jones and the Last Crusade,English,126,1989,All,Movie,Amazon Prime,tt0097576,"Action,Adventure",8.2
Tulsi Vivah,Hindi,162,1971,All,Movie,Amazon Prime,tt0158292,"Adventure,Fantasy",6.6
Sapthagiri LLB,Telugu,132,2017,13+,Movie,Amazon Prime,tt9729774,"Comedy,Drama",7.4
Ek Tha Tiger,Hindi,132,2012,13+,Movie,Amazon Prime,tt2016894,"Action,Romance,Thriller",5.5
Bheemasena Nalamaharaja,Kannada,140,2020,13+,Movie,Amazon Prime,tt8016356,Drama,6.9
Natural Born Killers,English,118,1994,18+,Movie,Amazon Prime,tt0110632,"Action,Crime,Drama",7.3
Begum Jaan,Hindi,127,2017,18+,Movie,Amazon Prime,tt5785116,"Action,Drama,History",5.5
Humkadam,Hindi,123,1980,All,Movie,Amazon Prime,tt0360650,"Drama,Family,Musical",6.6
Johnny English,English,87,2003,All,Movie,Amazon Prime,tt0274166,"Action,Adventure,Comedy",6.2
Bluff Master,Telugu,148,2018,13+,Movie,Amazon Prime,tt8649454,"Crime,Thriller",6.5
Diba Ratrir Kabya,Bengali,84,1970,13+,Movie,Amazon Prime,tt6900482,"Comedy,Drama,Romance",8.2
Endrendrum Kadhal,Tamil,144,1999,NR,Movie,Amazon Prime,tt6829596,"Drama,Romance",7.5
Ishqiya,Hindi,110,2010,18+,Movie,Amazon Prime,tt1345777,"Comedy,Drama,Romance",7.3
Kaliveedu,Malayalam,126,1996,All,Movie,Amazon Prime,tt0355631,"Comedy,Drama",6.1
Meet Dave,English,90,2008,13+,Movie,Amazon Prime,tt0765476,"Adventure,Comedy,Family",5.0
Yaara Silly Silly,Hindi,106,2015,18+,Movie,Amazon Prime,tt5052972,Romance,5.6
Trishagni,Hindi,118,1988,7+,Movie,Amazon Prime,tt0300575,Drama,7.3
Sivaji,Tamil,188,2007,All,Movie,Amazon Prime,tt0479751,"Action,Drama,Thriller",7.5
Kerry on Kutton,Hindi,119,2016,18+,Movie,Amazon Prime,tt5068892,Drama,5.7
The Mechanic,Telugu,88,2011,18+,Movie,Amazon Prime,tt0472399,"Action,Crime,Thriller",6.6
Bunny,Telugu,133,2005,All,Movie,Amazon Prime,tt0432090,"Action,Drama",5.8
Babru,Kannada,106,2019,13+,Movie,Amazon Prime,tt11247252,Thriller,6.7
Happy Husbands,Malayalam,157,2010,All,Movie,Amazon Prime,tt1609119,Comedy,5.7
Mumbai Pune Mumbai,Marathi,106,2010,All,Movie,Amazon Prime,tt1822266,"Drama,Romance",8.0
Sin City: A Dame to Kill For,English,98,2014,18+,Movie,Amazon Prime,tt7229088,"Comedy,Talk-Show",8.0
Avengement,Hindi,88,2019,18+,Movie,Amazon Prime,tt8836988,"Action,Crime",6.6
Khote Sikkay,Hindi,125,1974,18+,Movie,Amazon Prime,tt0155805,"Action,Crime,Drama",6.2
Aaina,Hindi,149,1993,16+,Movie,Amazon Prime,tt0106203,"Drama,Romance",6.0
Ye Re Ye Re Paisa 2,Marathi,134,2019,13+,Movie,Amazon Prime,tt8983182,Drama,5.2
Sakshyam,Malayalam,131,1995,NR,Movie,Amazon Prime,tt0355984,Drama,4.4
Love Aaj Kal,Hindi,128,2009,NR,Movie,Amazon Prime,tt1275863,"Comedy,Drama,Romance",6.8
Rehnaa Hai Terre Dil Mein,Hindi,158,2001,NR,Movie,Amazon Prime,tt0299108,"Musical,Romance",7.6
Bailaras,Punjabi,132,2017,All,Movie,Amazon Prime,tt7567288,Drama,6.4
Star Trek Into Darkness,English,132,2013,13+,Movie,Amazon Prime,tt1408101,"Action,Adventure,Sci-Fi",7.7
Sakalakala Vallavan,Tamil,137,1982,All,Movie,Amazon Prime,tt0281157,"Action,Comedy,Romance",6.6
Na Jaane Kabse,Hindi,132,2011,NR,Movie,Amazon Prime,tt2073038,Romance,6.0
Jeans,Tamil,166,1998,All,Movie,Amazon Prime,tt0151121,"Comedy,Drama,Romance",6.5
History of Joy,Malayalam,119,2017,All,Movie,Amazon Prime,tt6650436,Drama,5.1
Wildling,English,88,2018,18+,Movie,Amazon Prime,tt5085924,"Drama,Fantasy,Horror",5.5
Harry Potter and the Sorcerer's Stone,English,152,2001,All,Movie,Amazon Prime,tt0241527,"Adventure,Family,Fantasy",7.6
Deewana,Bengali,155,2013,13+,Movie,Amazon Prime,tt2753628,Romance,5.6
Aerial Ireland,English,46,2017,NR,Movie,Amazon Prime,tt9226576,Documentary,8.2
Sex Drive,English,109,2008,18+,Movie,Amazon Prime,tt1135985,"Comedy,Romance",6.5
Shanghai,Hindi,109,2012,13+,Movie,Amazon Prime,tt2072227,"Crime,Drama,Mystery",7.2
Prem Nagar,Hindi,158,1974,All,Movie,Amazon Prime,tt0072026,"Drama,Musical,Romance",6.3
Marshal,Telugu,140,2019,13+,Movie,Amazon Prime,tt10763826,Action,6.7
Koodi Vazhnthal Kodi Nanmai,Tamil,153,2000,All,Movie,Amazon Prime,tt9021032,Drama,6.0
Thanks for Sharing,English,112,2013,18+,Movie,Amazon Prime,tt3243712,Talk-Show,4.9
Kathanam,Malayalam,110,2019,13+,Movie,Amazon Prime,tt10834046,"Mystery,Thriller",3.8
Girlfriend,Marathi,137,2019,13+,Movie,Amazon Prime,tt10706640,Romance,6.4
Dhamaka,Malayalam,120,2020,13+,Movie,Amazon Prime,tt10692994,Comedy,5.2
Bloodshot,Tamil,109,2020,13+,Movie,Amazon Prime,tt11945294,Talk-Show,6.8
Jab We Met,Hindi,138,2007,All,Movie,Amazon Prime,tt1093370,"Comedy,Drama,Romance",7.9
Armed Response,English,89,2017,18+,Movie,Amazon Prime,tt4557208,"Action,Horror,Thriller",3.8
Dharam Veer,Hindi,156,1977,All,Movie,Amazon Prime,tt0213611,"Action,Adventure,Comedy",6.7
Mazhayathu,Malayalam,122,2018,All,Movie,Amazon Prime,tt8396236,"Drama,Family",6.4
Cast Away,English,143,2000,18+,Movie,Amazon Prime,tt0162222,"Adventure,Drama,Romance",7.8
Zaroorat,Hindi,103,1972,NR,Movie,Amazon Prime,tt0068012,Drama,6.4
Mukham,Malayalam,117,1990,NR,Movie,Amazon Prime,tt0278577,"Crime,Mystery,Thriller",6.9
In Harihar Nagar,Malayalam,127,1990,NR,Movie,Amazon Prime,tt0278501,"Comedy,Crime,Mystery",8.6
Ghatkali,Bengali,117,1979,NR,Movie,Amazon Prime,tt1587158,Comedy,6.6
Chasing Happiness,English,96,2019,16+,Movie,Amazon Prime,tt9882084,"Biography,Documentary,Music",7.8
Viralukketha Veekkam,Tamil,156,1999,NR,Movie,Amazon Prime,tt10157546,Comedy,7.3
Gaurisankaram,Malayalam,101,2003,All,Movie,Amazon Prime,tt0393320,"Drama,Romance",4.2
Mangamma Gari Manavadu,Telugu,127,1984,NR,Movie,Amazon Prime,tt0259423,Drama,6.3
Happy Ending,Hindi,134,2014,NR,Movie,Amazon Prime,tt3017412,"Comedy,Romance",5.4
Amar Prem,Hindi,134,1972,NR,Movie,Amazon Prime,tt0066758,"Drama,Musical,Romance",8.2
Marina Puratchi,Tamil,76,2019,All,Movie,Amazon Prime,tt11248244,Drama,6.2
Horrible Bosses 2,English,108,2014,18+,Movie,Amazon Prime,tt2170439,"Comedy,Crime",6.3
NGK,Tamil,147,2019,All,Movie,Amazon Prime,tt8094252,"Action,Drama",6.0
Furry Vengeance,English,91,2010,7+,Movie,Amazon Prime,tt0492389,"Comedy,Family",3.8
Genius,Telugu,142,2012,18+,Movie,Amazon Prime,tt3165598,"Documentary,Short",4.3
Ulavuthurai,Tamil,162,1998,18+,Movie,Amazon Prime,tt10127922,\N,7.2
Brick Mansions,English,90,2014,18+,Movie,Amazon Prime,tt1430612,"Action,Crime,Thriller",5.7
Chingaari,Hindi,155,2006,13+,Movie,Amazon Prime,tt0454429,Drama,4.7
Adda,Bengali,107,2019,13+,Movie,Amazon Prime,tt8347754,"Comedy,Drama",6.7
A Monsoon Date,Hindi,21,2019,NR,Movie,Amazon Prime,tt9098208,"Drama,Fantasy,Short",7.0
Enthino Pookunna Pookal,Malayalam,141,1982,NR,Movie,Amazon Prime,tt0267469,Drama,5.2
Once Upon a Time in America,English,229,1984,18+,Movie,Amazon Prime,tt0087843,"Crime,Drama",8.4
Youth,English,123,2015,18+,Movie,Amazon Prime,tt3312830,"Comedy,Drama,Music",7.3
Newton,Hindi,104,2017,13+,Movie,Amazon Prime,tt6484982,"Comedy,Drama",7.7
Mon Mayuree,Bengali,149,1990,NR,Movie,Amazon Prime,tt7351182,"Action,Drama,Romance",4.0
Paka Dekha,Bengali,95,1980,NR,Movie,Amazon Prime,tt1523525,Drama,6.7
Rishtey,Hindi,155,2002,13+,Movie,Amazon Prime,tt0341549,"Action,Drama",4.6
Criminal,Tamil,108,2016,18+,Movie,Amazon Prime,tt3014866,"Action,Sci-Fi,Thriller",6.3
Flight,English,138,2012,18+,Movie,Amazon Prime,tt1907668,"Drama,Thriller",7.3
Badshahi Angti,Bengali,106,2014,All,Movie,Amazon Prime,tt4265964,"Adventure,Mystery,Thriller",6.6
Dinoshark,English,86,2010,16+,Movie,Amazon Prime,tt1545986,"Action,Adventure,Comedy",3.1
Auzaar,Hindi,126,1997,13+,Movie,Amazon Prime,tt0118660,"Action,Drama,Musical",4.5
Kshamichu Ennoru Vakku,Malayalam,112,1986,NR,Movie,Amazon Prime,tt0271603,Drama,6.2
Tula Shikwin Changlach Dhada,Marathi,152,2007,All,Movie,Amazon Prime,tt7286950,Comedy,6.3
Rangeelay,Punjabi,129,2013,NR,Movie,Amazon Prime,tt2821880,"Action,Comedy,Drama",5.0
Bey Yaar,Gujarati,154,2014,13+,Movie,Amazon Prime,tt3590482,"Comedy,Drama,Family",8.4
Annamayya,Telugu,145,1997,NR,Movie,Amazon Prime,tt0249361,"Biography,Drama,History",8.0
Mafia: Chapter 1,Tamil,111,2020,13+,Movie,Amazon Prime,tt10594792,"Action,Crime,Drama",6.0
Break Ke Baad,Hindi,112,2010,All,Movie,Amazon Prime,tt1578261,"Comedy,Drama,Romance",5.2
Minority Report,English,145,2002,18+,Movie,Amazon Prime,tt0181689,"Action,Crime,Mystery",7.6
Kabali,Tamil,143,2016,13+,Movie,Amazon Prime,tt5071886,"Action,Crime,Drama",6.2
Melle,Malayalam,113,2017,All,Movie,Amazon Prime,tt7244092,"Drama,Family,Musical",6.1
Bandipotu Simham,Telugu,125,1982,NR,Movie,Amazon Prime,tt0245746,"Action,Family,Romance",5.2
Atlas Shrugged: Part I,English,96,2011,13+,Movie,Amazon Prime,tt0480239,"Drama,Mystery,Sci-Fi",5.6
Choricha Mamla,Marathi,132,2020,13+,Movie,Amazon Prime,tt11457262,Comedy,6.4
702 Dixits,Marathi,115,2016,13+,Movie,Amazon Prime,tt5313370,Thriller,4.8
Woh Chokri,Hindi,123,1994,NR,Movie,Amazon Prime,tt0444983,Drama,7.8
Indriyam,Malayalam,127,2000,NR,Movie,Amazon Prime,tt0283405,"Horror,Musical",5.0
Boss,Bengali,137,2013,13+,Movie,Amazon Prime,tt2571140,"Action,Comedy,Crime",5.1
Evanukku Engeyo Matcham Irukku,Tamil,140,2018,18+,Movie,Amazon Prime,tt9261624,Comedy,2.9
Firehouse Dog,English,111,2007,13+,Movie,Amazon Prime,tt0476995,"Action,Comedy,Family",5.5
Wonder,English,113,2017,7+,Movie,Amazon Prime,tt2543472,"Drama,Family",8.0
The Babadook,English,93,2014,18+,Movie,Amazon Prime,tt2321549,"Drama,Horror,Mystery",6.8
Ab Hoga Dharna Unlimited,Hindi,78,2012,NR,Movie,Amazon Prime,tt2353775,Comedy,4.6
San Andreas,Tamil,114,2015,13+,Movie,Amazon Prime,tt2126355,"Action,Adventure,Thriller",6.1
Uraan,Bengali,35,2019,13+,Movie,Amazon Prime,tt7972558,"Romance,Short",6.2
Vaisakhi List,Punjabi,143,2016,All,Movie,Amazon Prime,tt5270366,Comedy,6.4
Dil Ki Baazi,Hindi,153,1993,All,Movie,Amazon Prime,tt0290179,"Action,Drama",5.4
Gurkha,Tamil,141,2019,All,Movie,Amazon Prime,tt9104664,"Action,Comedy",5.0
Maa Nanna Chiranjeevi,Telugu,112,2010,NR,Movie,Amazon Prime,tt1582539,Family,5.3
Zakir Khan: Kaksha Gyarvi,Hindi,74,2018,18+,Movie,Amazon Prime,tt9105088,Comedy,8.4
Khubsoorat,Hindi,120,1980,All,Movie,Amazon Prime,tt0244585,"Comedy,Drama,Family",7.6
Cloudy with a Chance of Meatballs,Hindi,89,2009,7+,Movie,Amazon Prime,tt0844471,"Adventure,Animation,Comedy",6.9
Blood Diamond,English,143,2006,18+,Movie,Amazon Prime,tt0450259,"Adventure,Drama,Thriller",8.0
Violin,Malayalam,130,2011,All,Movie,Amazon Prime,tt2211141,"Drama,Romance",4.3
Aruvadai Naal,Tamil,138,1986,NR,Movie,Amazon Prime,tt0319008,\N,5.9
Annan Thambi,Malayalam,135,2008,NR,Movie,Amazon Prime,tt1305879,"Action,Comedy,Family",5.7
Lingaa,Hindi,148,2014,NR,Movie,Amazon Prime,tt4020624,"Action,Comedy,Drama",5.6
Lajja,Hindi,202,2001,NR,Movie,Amazon Prime,tt0293342,"Action,Crime,Drama",6.7
Farewell Amor,English,117,2020,NR,Movie,Amazon Prime,tt11380884,"Drama,Music,Romance",6.9
Nenjirukkum Varai,Tamil,149,2006,All,Movie,Amazon Prime,tt11178266,Drama,8.3
Anandache Jhaad,Marathi,150,2006,All,Movie,Amazon Prime,tt2633694,Drama,5.5
The Florida Project,English,111,2017,18+,Movie,Amazon Prime,tt5649144,Drama,7.6
Copycat,English,123,1995,18+,Movie,Amazon Prime,tt0112722,"Drama,Mystery,Thriller",6.6
Geostorm,English,109,2017,13+,Movie,Amazon Prime,tt11750190,Adventure,7.0
Bharaate,Kannada,164,2019,13+,Movie,Amazon Prime,tt8811292,"Action,Drama",5.0
The Condemned 2,English,90,2015,18+,Movie,Amazon Prime,tt4151192,"Action,Thriller",4.2
Sound of Silence,Hindi,87,2017,All,Movie,Amazon Prime,tt6107180,"Drama,Family",8.7
Kokkarakko,Malayalam,149,1995,NR,Movie,Amazon Prime,tt0355660,Comedy,4.7
Besh Korechi Prem Korechi,Bengali,143,2015,All,Movie,Amazon Prime,tt4882700,"Action,Romance",4.7
Adhe Kangal,Tamil,119,2017,All,Movie,Amazon Prime,tt6348454,"Action,Thriller",7.3
Annaya Attayachar,Bengali,159,2004,All,Movie,Amazon Prime,tt6964244,"Action,Drama,Romance",6.0
Apocalypto,English,132,2006,18+,Movie,Amazon Prime,tt0472043,"Action,Adventure,Drama",7.8
Aav Taru Kari Nakhu,Gujarati,126,2017,NR,Movie,Amazon Prime,tt6796284,Comedy,6.5
Albela,Hindi,139,2001,All,Movie,Amazon Prime,tt0118578,"Comedy,Drama,Romance",3.7
Kargil,Tamil,93,2018,All,Movie,Amazon Prime,tt8644126,"Drama,Romance",7.1
Superman: Red Son,English,84,2020,13+,Movie,Amazon Prime,tt10985510,"Action,Animation,Sci-Fi",6.4
Dharmathin Thalaivan,Tamil,135,1988,NR,Movie,Amazon Prime,tt0319290,"Action,Drama",7.0
My Super Ex-Girlfriend,English,96,2006,16+,Movie,Amazon Prime,tt0465624,"Comedy,Romance,Sci-Fi",5.1
Bachelor Party,Malayalam,119,2012,13+,Movie,Amazon Prime,tt2229208,"Action,Crime,Thriller",5.2
Kambakkht Ishq,Hindi,134,2009,NR,Movie,Amazon Prime,tt1144804,"Action,Comedy,Romance",3.9
Muniyana Madari,Kannada,141,1981,NR,Movie,Amazon Prime,tt1351760,Drama,7.5
Dilli Dreams,Hindi,9,2012,All,Movie,Amazon Prime,tt2186778,"Drama,Short",6.0
It Follows,English,99,2015,18+,Movie,Amazon Prime,tt5087146,Documentary,6.7
Stalin,Telugu,168,2006,13+,Movie,Amazon Prime,tt0366180,"Action,Drama",6.0
Lapandav,Marathi,145,1993,All,Movie,Amazon Prime,tt0342672,Comedy,8.3
